,location,total_sqft,bath,price,bhk,encoded_loc
167,Kogilu,1909.0,3,88.0,3,142
168,Panathur,1359.0,2,87.0,2,180
169,others,1207.0,2,43.5,2,230
170,Kammasandra,1595.0,3,65.0,3,125
171,others,1798.0,3,89.0,3,230
172,Electronics City Phase 1,1475.0,3,78.29,3,76
173,others,1580.0,3,100.0,3,230
174,Dasarahalli,1295.0,2,65.0,2,64
175,Magadi Road,3600.0,6,141.0,6,155
176,Electronic City,589.0,1,27.0,1,74
177,others,1415.0,3,78.0,3,230
178,Sarjapur  Road,1787.0,3,98.29,3,194
179,Sarjapur  Road,1787.0,3,125.0,3,194
180,Koramangala,1475.0,2,90.0,3,144
181,others,2000.0,4,75.5,4,230
182,Sarjapur  Road,984.0,2,44.28,2,194
183,Devanahalli,2390.0,2,74.82,3,65
184,7th Phase JP Nagar,1080.0,2,72.0,2,6
185,others,1500.0,2,115.0,2,230
186,Hebbal,1900.0,3,119.0,3,92
187,Budigere,1153.0,2,56.4,2,52
188,others,1148.0,2,60.0,2,230
189,others,1110.0,2,55.0,2,230
190,Electronic City,1100.0,2,42.0,2,74
191,others,1500.0,2,65.0,3,230
192,others,1080.0,2,39.0,2,230
193,Vijayanagar,1933.0,3,129.0,3,220
194,Ramamurthy Nagar,3500.0,5,150.0,5,188
195,others,1060.0,2,60.0,2,230
196,others,2600.0,8,180.0,8,230
197,others,1644.0,3,84.0,3,230
198,others,1285.0,2,72.5,2,230
199,Electronic City,1200.0,3,90.0,3,74
200,Electronic City,910.0,2,40.0,2,74
201,Kothanur,1577.0,3,70.0,3,146
202,others,4050.0,3,280.0,3,230
203,OMBR Layout,2420.0,3,185.0,3,175
204,others,1060.0,2,55.0,2,230
205,7th Phase JP Nagar,1270.0,2,93.0,2,6
206,others,1280.0,2,69.0,2,230
207,Horamavu Agara,1200.0,2,95.0,4,98
208,Sarjapur  Road,1025.0,2,36.0,2,194
209,Electronic City,1108.0,2,63.0,2,74
210,others,3045.0,3,170.0,3,230
211,Vijayanagar,1500.0,3,75.5,3,220
212,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
213,Budigere,1162.0,2,59.9,2,52
214,Sarjapur  Road,1035.0,2,49.2,2,194
215,Attibele,1600.0,4,52.8,4,21
216,others,1464.0,3,46.0,3,230
217,Hennur Road,1866.0,2,61.58,3,96
218,others,700.0,1,26.0,2,230
219,Kalena Agrahara,1804.0,3,120.0,3,121
220,Sarjapur,913.0,2,32.0,2,193
221,Talaghattapura,1868.0,3,131.0,3,208
222,Kengeri Satellite Town,883.0,2,45.0,2,136
223,Kogilu,1664.0,2,73.95,3,142
224,Hegde Nagar,2026.0,3,132.0,3,94
225,Balagere,1210.0,2,80.9,2,25
226,others,4111.0,4,250.0,4,230
227,Kadugodi,1762.0,3,91.45,3,117
228,Jigani,1252.0,3,55.0,3,113
229,Gollarapalya Hosahalli,861.0,2,34.5,2,81
230,7th Phase JP Nagar,1420.0,2,100.0,3,6
231,Electronics City Phase 1,1490.0,3,78.8,3,76
232,Bisuvanahalli,1075.0,2,46.0,3,46
233,Old Madras Road,1425.0,2,94.0,3,177
234,Kalena Agrahara,1200.0,2,40.0,2,121
235,Kaggadasapura,1280.0,2,56.0,3,118
236,others,1084.0,2,50.0,2,230
237,Kanakpura Road,1017.0,2,51.25,2,127
238,Haralur Road,1027.0,2,44.0,2,90
239,Electronic City Phase II,1069.0,2,45.0,2,75
240,Hebbal,1349.0,2,98.2,2,92
241,9th Phase JP Nagar,1005.0,2,50.0,2,8
242,Jakkur,1417.0,2,75.0,2,110
243,TC Palaya,1475.0,3,98.0,3,207
244,others,950.0,2,47.0,2,230
245,others,2000.0,4,120.0,4,230
246,Sarjapur  Road,1863.0,3,104.0,4,194
247,Singasandra,1010.0,2,29.5,2,201
248,Kalena Agrahara,1425.0,2,70.0,3,121
249,Vijayanagar,1450.0,3,100.0,3,220
250,Kothanur,1847.0,3,105.0,3,146
251,AECS Layout,1100.0,2,45.0,2,9
252,Kanakpura Road,525.0,1,26.0,1,127
253,Mallasandra,1665.0,3,95.0,3,158
254,Begur,1664.0,4,65.0,4,38
255,JP Nagar,1850.0,3,150.0,3,109
256,Panathur,1438.0,2,100.0,2,180
257,others,1560.0,3,115.0,3,230
258,Yelahanka,1350.0,2,55.55,2,226
259,Kanakpura Road,1550.0,3,67.0,3,127
260,Malleshpalya,1140.0,2,46.5,2,159
261,others,850.0,2,27.0,2,230
262,Whitefield,1280.0,2,75.0,2,224
263,Munnekollal,1170.0,2,52.0,2,164
264,others,1113.0,2,51.0,2,230
265,Hennur Road,1385.0,2,83.09,2,96
266,Electronic City,1128.0,2,65.0,2,74
267,Haralur Road,1464.0,3,56.0,3,90
268,others,1200.0,2,55.0,2,230
269,Kaval Byrasandra,1200.0,2,52.0,2,133
270,Kaggalipura,1150.0,2,55.0,3,119
271,others,1645.0,3,95.0,3,230
272,Sarjapur  Road,1000.0,2,67.0,2,194
273,Haralur Road,2650.0,4,198.0,4,90
274,6th Phase JP Nagar,1192.0,2,74.0,2,5
275,Whitefield,1173.0,2,58.0,2,224
276,Uttarahalli,1020.0,2,45.0,2,216
277,Thigalarapalya,3122.0,6,230.0,4,210
278,Somasundara Palya,1600.0,3,64.0,3,202
279,others,1200.0,2,79.0,2,230
280,others,1230.0,2,48.0,2,230
281,Devarachikkanahalli,1250.0,2,40.0,2,66
282,Kalena Agrahara,1325.0,2,76.0,2,121
283,7th Phase JP Nagar,1850.0,3,150.0,3,6
284,Kanakpura Road,525.0,2,21.53,1,127
285,Basaveshwara Nagar,1200.0,2,65.0,2,36
286,Bommasandra,1260.0,3,49.36,3,48
287,others,1800.0,3,150.0,3,230
288,Ardendale,1100.0,2,43.25,2,19
289,Harlur,1508.0,2,77.0,2,91
290,others,1592.0,3,75.0,3,230
291,Akshaya Nagar,1388.0,2,57.0,2,11
292,Electronic City Phase II,630.0,1,28.35,1,75
293,others,1762.0,3,125.0,3,230
294,others,950.0,2,50.0,2,230
295,Magadi Road,1116.0,2,50.0,2,155
296,others,1308.0,2,89.04,2,230
297,others,1200.0,3,90.0,3,230
298,Bannerghatta Road,500.0,1,18.5,1,34
299,Hennur,1075.0,2,52.0,2,95
300,Bellandur,1205.0,2,66.0,2,40
301,5th Phase JP Nagar,1075.0,2,60.0,2,4
302,KR Puram,930.0,2,39.0,2,115
303,Balagere,1380.0,2,60.0,2,25
304,Kodigehaali,1166.0,2,55.0,2,139
305,Bannerghatta Road,1050.0,2,65.0,2,34
306,Begur Road,1200.0,2,46.8,2,39
307,Lakshminarayana Pura,1600.0,2,108.0,3,153
308,Billekahalli,1935.0,3,110.0,3,44
309,8th Phase JP Nagar,451.0,1,29.9,1,7
310,Electronic City,1800.0,3,95.0,3,74
311,Jalahalli,1400.0,3,77.0,3,111
312,Hegde Nagar,1801.0,3,115.0,3,94
313,Mahadevpura,1451.0,2,90.0,2,156
314,Anekal,1200.0,1,36.0,2,17
315,Begur Road,1160.0,2,44.0,2,39
316,Kanakpura Road,950.0,2,40.0,2,127
317,others,1629.0,3,79.0,3,230
318,Vijayanagar,1826.0,3,121.0,3,220
319,7th Phase JP Nagar,1245.0,2,94.0,2,6
320,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
321,Sompura,825.0,2,33.0,2,203
322,Yeshwanthpur,1693.0,3,108.0,3,229
323,Electronics City Phase 1,1113.27,2,53.0,2,76
324,others,1460.0,2,58.0,2,230
325,Doddathoguru,1050.0,2,32.0,2,70
326,Dodda Nekkundi,1260.0,2,55.0,2,67
327,Hosur Road,1656.0,2,120.0,2,104
328,Chandapura,1208.0,3,45.0,3,55
329,Whitefield,3252.0,4,230.0,4,224
330,Battarahalli,1200.0,2,65.0,2,37
331,7th Phase JP Nagar,1175.0,2,82.0,2,6
332,others,1185.0,2,38.0,2,230
333,Kengeri,750.0,2,38.0,2,135
334,Kanakpura Road,1550.0,3,64.5,3,127
335,others,1760.0,3,88.0,3,230
336,Billekahalli,1125.0,2,62.0,2,44
337,Anandapura,1000.0,2,55.0,2,15
338,Bommasandra Industrial Area,1090.0,2,31.48,2,49
339,TC Palaya,1200.0,2,60.0,2,207
340,Budigere,1991.0,4,103.0,3,52
341,Ambalipura,1105.0,2,75.0,2,12
342,Hoodi,985.0,2,67.0,2,97
343,Balagere,1590.0,3,79.0,3,25
344,CV Raman Nagar,1120.0,2,55.0,2,53
345,others,1069.0,2,55.0,2,230
346,Marathahalli,1933.0,3,140.0,3,161
347,Hosur Road,1194.0,2,69.0,2,104
348,Brookefield,1150.0,2,69.0,2,51
349,Yelenahalli,1240.0,2,47.12,2,228
350,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
351,others,1450.0,3,55.0,3,230
352,others,1630.0,3,68.29,3,230
353,Dasanapura,708.0,1,40.0,2,63
354,Whitefield,11890.0,4,700.0,4,224
355,Bellandur,1250.0,2,76.0,2,40
356,7th Phase JP Nagar,1400.0,2,95.0,3,6
357,Sarjapur  Road,1670.0,2,57.0,3,194
358,Ardendale,1750.0,3,100.0,3,19
359,Vittasandra,1404.0,2,71.0,2,223
360,Hoodi,1715.0,2,95.0,3,97
361,Electronic City,630.0,1,34.65,1,74
362,Harlur,1752.12,3,135.0,3,91
363,Hulimavu,1650.0,3,78.0,3,105
364,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
365,Sarjapur  Road,1346.0,2,74.03,2,194
366,Hormavu,1150.0,2,55.0,2,100
367,AECS Layout,1620.0,3,98.0,3,9
368,Marathahalli,950.0,2,46.96,2,161
369,others,5000.0,9,360.0,11,230
370,Harlur,2450.0,3,120.0,3,91
371,Electronic City Phase II,1220.0,2,35.23,3,75
372,others,850.0,2,30.0,2,230
373,Padmanabhanagar,1020.0,2,63.0,2,178
374,Chikkalasandra,1100.0,2,50.0,2,59
375,Hebbal,1760.0,2,130.0,3,92
376,Ambalipura,1800.0,3,110.0,3,12
377,Akshaya Nagar,1070.0,2,54.0,2,11
378,Vidyaranyapura,1440.0,2,95.0,2,219
379,Amruthahalli,900.0,2,40.0,2,14
380,Whitefield,1130.0,2,42.16,2,224
381,Kodigehalli,1270.0,2,98.0,2,140
382,others,1200.0,2,62.0,2,230
383,others,4800.0,4,235.0,4,230
384,others,1200.0,2,74.0,2,230
385,Subramanyapura,929.0,2,50.17,2,205
386,others,1464.0,3,56.0,3,230
387,others,2000.0,4,99.0,4,230
388,Chikkalasandra,1208.0,2,49.0,2,59
389,Hebbal Kempapura,1130.0,2,60.0,2,93
390,others,1753.0,3,120.0,3,230
391,Old Madras Road,4500.0,7,337.0,5,177
392,Hoodi,1196.0,2,94.42,2,97
393,5th Phase JP Nagar,1150.0,3,52.5,2,4
394,Electronic City,1128.0,2,63.0,2,74
395,others,1000.0,2,53.0,2,230
396,Yelahanka,1035.0,2,45.0,2,226
397,Kereguddadahalli,950.0,2,32.0,2,137
398,Bisuvanahalli,1075.0,2,36.0,3,46
399,Whitefield,1040.0,2,48.5,2,224
400,others,720.0,2,45.0,2,230
401,Lingadheeranahalli,1511.0,3,95.0,3,154
402,others,1300.0,3,58.0,3,230
403,Hoodi,1545.0,3,68.75,3,97
404,Shampura,375.0,2,26.0,1,199
405,Vidyaranyapura,1062.0,2,38.0,2,219
406,others,1115.0,2,40.0,2,230
407,JP Nagar,1000.0,2,35.0,2,109
408,Kambipura,883.0,2,45.0,2,123
409,Sarjapur  Road,1195.0,2,70.0,2,194
410,others,700.0,1,41.0,1,230
411,Vittasandra,1246.0,2,67.0,2,223
412,others,1600.0,4,80.0,4,230
413,Haralur Road,2805.0,5,154.0,4,90
414,Begur Road,1584.0,3,65.0,3,39
415,Hosur Road,1175.0,2,48.0,3,104
416,others,1595.0,3,115.0,3,230
417,others,1353.0,2,110.0,2,230
418,Electronic City,1599.0,3,125.0,3,74
419,Whitefield,1150.0,2,70.0,2,224
420,KR Puram,1155.0,2,42.74,2,115
421,others,1200.0,2,85.0,1,230
422,Thanisandra,3000.0,4,120.0,4,209
423,Ramagondanahalli,1251.0,2,47.0,2,187
424,others,1028.0,2,45.5,2,230
425,Arekere,1222.0,2,45.0,2,20
426,Bannerghatta Road,1170.0,2,66.0,3,34
427,others,1385.0,2,48.48,3,230
428,HSR Layout,1372.0,2,68.0,2,89
429,Magadi Road,1282.0,2,49.0,3,155
430,Mico Layout,5000.0,9,210.0,9,163
431,Kanakpura Road,1135.0,2,39.73,2,127
432,Whitefield,1768.0,3,101.0,3,224
433,others,1325.0,2,90.0,3,230
434,Electronic City,1599.0,3,99.0,3,74
435,Whitefield,1500.0,3,61.95,3,224
436,Uttarahalli,1286.0,2,63.0,2,216
437,Kammanahalli,2845.0,5,140.0,5,124
438,others,1600.0,2,50.0,3,230
439,Hennur Road,1915.0,2,63.77,2,96
440,Hebbal,3450.0,5,260.0,3,92
441,Munnekollal,1102.0,2,53.67,2,164
442,Yelahanka,1350.0,2,54.0,2,226
443,Banashankari,1200.0,2,42.0,3,26
444,others,1800.0,1,80.0,2,230
445,Chikkabanavar,950.0,2,40.0,2,58
446,Kanakpura Road,525.0,1,27.25,1,127
447,Attibele,656.0,2,25.0,2,21
448,others,1056.0,2,80.0,2,230
449,Bannerghatta Road,595.0,1,33.32,1,34
450,others,1080.0,2,50.0,2,230
451,7th Phase JP Nagar,2225.0,3,160.0,3,6
452,Electronics City Phase 1,1490.0,3,84.0,3,76
453,Sarjapur  Road,1550.0,3,100.0,3,194
454,Sarjapur  Road,1600.0,3,86.0,3,194
455,others,1160.0,2,55.0,2,230
456,Whitefield,4144.0,4,315.0,4,224
457,Sarjapur  Road,2100.0,3,125.0,3,194
458,Vittasandra,1404.0,2,69.3,2,223
459,others,1544.0,3,120.0,3,230
460,Banashankari Stage III,1305.0,2,58.7,3,28
461,Marathahalli,1230.0,2,80.0,2,161
462,others,1200.0,2,65.0,2,230
463,Harlur,1460.0,3,73.0,3,91
464,Gottigere,967.0,2,45.0,2,82
465,others,540.0,1,36.0,1,230
466,Hormavu,715.0,1,46.0,1,100
467,Mysore Road,1020.0,2,48.95,2,166
468,Jigani,1020.0,2,40.0,2,113
469,Koramangala,1253.0,2,102.0,2,144
470,others,1180.0,2,42.0,2,230
471,Nehru Nagar,961.0,2,38.0,2,174
472,Kanakapura,1419.0,3,75.0,3,126
473,others,1600.0,2,115.0,2,230
474,others,416.0,1,18.5,1,230
475,HSR Layout,1430.0,2,65.0,3,89
476,others,1260.0,2,45.0,2,230
477,others,1630.0,3,85.0,3,230
478,Sarjapur  Road,1249.0,3,44.71,3,194
479,Kalena Agrahara,1450.0,2,85.0,3,121
480,Konanakunte,2791.0,3,223.0,3,143
481,others,834.0,1,60.0,1,230
482,others,1125.0,4,70.0,3,230
483,Arekere,2060.0,3,140.0,3,20
484,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
485,Bisuvanahalli,1075.0,2,37.0,3,46
486,Vidyaranyapura,1200.0,2,55.0,2,219
487,Thanisandra,1075.0,2,45.8,2,209
488,Kaggadasapura,1140.0,2,40.0,2,118
489,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
490,R.T. Nagar,1500.0,4,70.0,4,182
491,Whitefield,1790.0,3,100.0,3,224
492,Hebbal,1920.0,3,134.0,3,92
493,HRBR Layout,1374.0,2,95.0,2,88
494,Bannerghatta Road,1445.0,3,95.0,3,34
495,Kanakapura,711.0,1,36.0,1,126
496,Tumkur Road,1500.0,3,95.0,3,214
497,Whitefield,1720.0,3,100.0,3,224
498,others,1400.0,3,60.0,3,230
499,Kundalahalli,1030.0,2,49.0,2,150
500,Mysore Road,1200.0,2,85.0,2,166
501,others,1375.0,3,70.0,3,230
502,Hegde Nagar,1050.0,1,56.0,2,94
503,Jalahalli,2250.0,3,160.0,3,111
504,Bellandur,1000.0,2,50.0,2,40
505,others,469.0,1,25.0,1,230
506,Marathahalli,3800.0,4,250.0,4,161
507,Kambipura,883.0,2,29.0,2,123
508,GM Palaya,1820.0,2,86.0,3,78
509,Singasandra,1440.0,2,65.0,3,201
510,others,3600.0,4,160.0,6,230
511,Mahadevpura,1225.0,2,48.0,2,156
512,Chikkalasandra,875.0,2,52.8,2,59
513,Jalahalli East,750.0,1,40.0,1,112
514,6th Phase JP Nagar,1180.0,2,80.0,2,5
515,Haralur Road,1194.0,2,47.0,2,90
516,Hennur Road,1500.0,2,62.0,3,96
517,others,1160.0,2,52.2,2,230
518,Sarjapur,1128.0,2,60.0,2,193
519,others,1220.0,2,35.23,3,230
520,Sarjapur  Road,1210.0,2,58.0,2,194
521,Kanakpura Road,1100.0,2,58.0,3,127
522,Bommasandra,1200.0,3,46.0,3,48
523,Haralur Road,3385.0,5,260.0,4,90
524,others,1641.0,3,66.0,3,230
525,Horamavu Agara,1200.0,2,45.0,2,98
526,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
527,Mahadevpura,1720.0,3,78.0,3,156
528,Yelahanka,1692.5,2,48.13,2,226
529,Yelahanka,1210.0,2,45.98,2,226
530,Bisuvanahalli,1075.0,2,45.0,3,46
531,Thanisandra,1702.0,3,130.0,3,209
532,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
533,others,2072.0,3,108.0,3,230
534,JP Nagar,7720.0,2,375.0,5,109
535,others,1200.0,2,70.0,3,230
536,others,1350.0,3,77.0,3,230
537,others,5591.0,4,445.0,4,230
538,others,1180.0,2,78.34,3,230
539,others,600.0,1,50.0,1,230
540,Bannerghatta Road,1640.0,2,120.0,3,34
541,Kodichikkanahalli,1190.0,2,57.0,3,138
542,Marathahalli,1019.0,2,49.85,2,161
543,Akshaya Nagar,1250.0,3,40.0,3,11
544,Whitefield,1140.0,2,56.0,2,224
545,Lingadheeranahalli,1683.0,3,109.0,3,154
546,Kaggadasapura,1515.0,3,83.3,3,118
547,Hoodi,2118.0,4,111.0,4,97
548,Bannerghatta Road,1380.0,3,58.0,4,34
549,Varthur Road,1083.0,2,61.75,2,218
550,others,2300.0,3,120.0,3,230
551,others,1240.0,2,60.0,2,230
552,others,1750.0,3,120.0,3,230
553,others,1230.0,2,43.48,2,230
554,Abbigere,985.0,2,40.39,2,10
555,Tindlu,1500.0,2,87.0,3,213
556,Electronic City,1125.0,2,32.49,2,74
557,others,950.0,2,44.0,2,230
558,JP Nagar,7800.0,2,548.5,5,109
559,Kothanur,1580.0,3,76.0,3,146
560,Hennur Road,2264.0,3,159.0,3,96
561,Kammasandra,810.0,2,24.5,2,125
562,others,1045.0,2,45.0,2,230
563,Hebbal,1337.0,2,82.0,2,92
564,Begur Road,1500.0,2,54.0,3,39
565,Whitefield,1640.0,4,91.0,3,224
566,others,1570.0,3,62.0,3,230
567,Gubbalala,1470.0,2,82.0,3,84
568,Kengeri,1160.0,2,40.61,2,135
569,7th Phase JP Nagar,1050.0,2,71.0,2,6
570,Bannerghatta Road,1460.0,2,90.0,3,34
571,Hulimavu,1823.0,3,100.0,3,105
572,Electronic City,1094.0,2,42.0,2,74
573,Budigere,1153.0,2,57.0,2,52
574,others,1325.0,3,57.0,3,230
575,others,1200.0,3,85.0,4,230
576,Jakkur,1590.0,2,125.0,3,110
577,others,1202.0,2,48.0,2,230
578,Haralur Road,1202.0,2,53.0,2,90
579,others,1200.0,2,62.5,2,230
580,Panathur,1688.0,3,118.0,3,180
581,Kaval Byrasandra,1020.0,2,52.0,2,133
582,Sarjapur,1185.0,2,47.0,2,193
583,Ramagondanahalli,1235.0,2,52.04,2,187
584,Banashankari,1077.0,2,37.64,2,26
585,Kengeri Satellite Town,1415.0,2,66.0,3,136
586,EPIP Zone,2330.0,3,162.0,3,73
587,Whitefield,805.0,2,35.0,2,224
588,others,425.0,1,20.03,1,230
589,Whitefield,1155.0,2,59.95,2,224
590,Anekal,656.0,2,22.0,2,17
591,others,1100.0,2,48.0,2,230
592,Mahadevpura,1150.0,2,52.0,2,156
593,Whitefield,2280.0,4,126.0,3,224
